Offense,Segment
ADLTTN,Homicide
ARSON,Other crimes
ASLT1,Domestic assault
ASLT2,Domestic assault
ASLT3,Domestic assault
ASLT4,Domestic assault
AUTOTH,Theft of vehicle
BIKETF,Theft of vehicle
BURGB,Theft of place/property
BURGD,Theft of place/property
COINOP,Theft of place/property
COMPUT,Other crimes
CSCR,Rape
DASLT1,Domestic assault
DASLT2,Domestic assault
DASLT3,Domestic assault
DASTR,Domestic assault
DISARM,Other crimes
JHOMIC,Homicide
LOOT,Theft of person
MURDR,Homicide
MVTHFT,Theft of vehicle
NOPAY,Theft of vehicle
ONLTHT,Other crimes
POCKET,Theft of person
ROBBIZ,Theft of place/property
ROBPAG,Theft of person
ROBPER,Theft of person
SCRAP,Theft of place/property
SHOPLF,Theft of place/property
TBLDG,Theft of place/property
TFMV,Theft of vehicle
TFPER,Theft of person
THEFT,Other theft
THFTSW,Theft of person
TMVP,Theft of vehicle
